BallX,BallY,PlayerX,PlayerY,PlayerW,PlayerH,PlayerMovement,Running
144,40,260,470,160,5,1,1
174,70,280,470,160,5,1,1
204,100,300,470,160,5,1,1
234,130,320,470,160,5,1,1
264,160,340,470,160,5,1,1
289,185,360,470,160,5,1,1
314,210,380,470,160,5,1,1
344,240,400,470,160,5,1,1
369,265,420,470,160,5,1,1
399,295,440,470,160,5,1,1
439,335,460,470,160,5,1,1
464,360,480,470,160,5,1,1
614,370,460,470,160,5,0,1
584,340,440,470,160,5,0,1
554,310,420,470,160,5,0,1
529,285,400,470,160,5,0,1
504,260,380,470,160,5,0,1
474,230,360,470,160,5,0,1
444,200,340,470,160,5,0,1
419,175,320,470,160,5,0,1
389,145,300,470,160,5,0,1
314,70,280,470,160,5,0,1
274,30,260,470,160,5,0,1
239,5,240,470,160,5,0,1
194,50,220,470,160,5,0,1
159,85,200,470,160,5,0,1
129,115,180,470,160,5,0,1
104,140,160,470,160,5,0,1
79,165,140,470,160,5,0,1
49,195,120,470,160,5,0,1
89,335,140,470,160,5,1,1
329,365,160,470,160,5,1,1
364,330,180,470,160,5,1,1
394,300,200,470,160,5,1,1
419,275,220,470,160,5,1,1
459,235,240,470,160,5,1,1
499,195,260,470,160,5,1,1
544,150,280,470,160,5,1,1
584,110,300,470,160,5,1,1
634,40,280,470,160,5,0,1
599,5,260,470,160,5,0,1
569,25,240,470,160,5,0,1
544,50,220,470,160,5,0,1
519,75,200,470,160,5,0,1
489,105,180,470,160,5,0,1
454,140,160,470,160,5,0,1
424,170,140,470,160,5,0,1
394,200,120,470,160,5,0,1
369,225,100,470,160,5,0,1
339,255,80,470,160,5,0,1
314,280,60,470,160,5,0,1
289,305,40,470,160,5,0,1
264,330,20,470,160,5,0,1
234,360,0,470,160,5,0,1
184,410,0,470,160,5,0,1
164,180,20,470,160,5,1,1
194,150,40,470,160,5,1,1
219,125,60,470,160,5,1,1
249,95,80,470,160,5,1,1
274,70,100,470,160,5,1,1
299,45,120,470,160,5,1,1
329,15,140,470,160,5,1,1
354,10,160,470,160,5,1,1
379,35,180,470,160,5,1,1
404,60,200,470,160,5,1,1
429,85,220,470,160,5,1,1
459,115,240,470,160,5,1,1
484,140,260,470,160,5,1,1
509,165,280,470,160,5,1,1
534,190,300,470,160,5,1,1
564,220,320,470,160,5,1,1
504,440,340,470,160,5,1,1
364,360,320,470,160,5,0,1
329,325,300,470,160,5,0,1
294,290,280,470,160,5,0,1
264,260,260,470,160,5,0,1
219,215,240,470,160,5,0,1
109,115,260,470,160,5,1,1
159,165,280,470,160,5,1,1
289,295,300,470,160,5,1,1
324,330,320,470,160,5,1,1
394,400,340,470,160,5,1,1
429,435,360,470,160,5,1,1
309,45,340,470,160,5,0,1
274,80,320,470,160,5,0,1
249,105,300,470,160,5,0,1
224,130,280,470,160,5,0,1
199,155,260,470,160,5,0,1
164,190,240,470,160,5,0,1
129,225,220,470,160,5,0,1
99,255,200,470,160,5,0,1
74,280,180,470,160,5,0,1
49,305,160,470,160,5,0,1
24,330,140,470,160,5,0,1
4,360,120,470,160,5,0,1
29,385,100,470,160,5,0,1
54,410,80,470,160,5,0,1
184,400,100,470,160,5,1,1
214,370,120,470,160,5,1,1
239,345,140,470,160,5,1,1
264,320,160,470,160,5,1,1
289,295,180,470,160,5,1,1
314,270,200,470,160,5,1,1
339,245,220,470,160,5,1,1
369,215,240,470,160,5,1,1
399,185,260,470,160,5,1,1
444,140,280,470,160,5,1,1
484,100,300,470,160,5,1,1
524,60,320,470,160,5,1,1
559,25,340,470,160,5,1,1
594,10,360,470,160,5,1,1
624,40,380,470,160,5,1,1
599,105,360,470,160,5,0,1
569,135,340,470,160,5,0,1
544,160,320,470,160,5,0,1
519,185,300,470,160,5,0,1
489,215,280,470,160,5,0,1
459,245,260,470,160,5,0,1
434,270,240,470,160,5,0,1
409,295,220,470,160,5,0,1
374,330,200,470,160,5,0,1
349,355,180,470,160,5,0,1
319,385,160,470,160,5,0,1
294,410,140,470,160,5,0,1
259,445,120,470,160,5,0,1
79,315,140,470,160,5,1,1
139,95,160,470,160,5,1,1
264,30,180,470,160,5,1,1
329,95,200,470,160,5,1,1
354,120,220,470,160,5,1,1
379,145,240,470,160,5,1,1
404,170,260,470,160,5,1,1
434,200,280,470,160,5,1,1
459,225,300,470,160,5,1,1
484,250,320,470,160,5,1,1
509,275,340,470,160,5,1,1
534,300,360,470,160,5,1,1
559,325,380,470,160,5,1,1
589,355,400,470,160,5,1,1
614,380,420,470,160,5,1,1
579,475,440,470,160,5,1,1
